step,n,n_archi,I2_min,I2_max,I2_mean,I2_absmax,r_min,r_max,r_mean,tw_min,tw_max,tw_mean,tw_absmax,phi_min,phi_max,phi_mean,phivel_min,phivel_max,phivel_mean,phivel_absmax,d_min,d_max,d_mean,d0_min,d0_max,d0_mean,eta_min,eta_max,eta_mean,tau_min,tau_max,tau_mean,dmin_nodi,xi_termo,n_naninf,n_I2_grandi,n_lontani,m0_I2pesata,m0_raggio,m0_N,m0_coer,m0_spin,m0_spin_disp,m0_vort_pos,m0_vort_neg,m0_carica,m0_coer_nucleo,m0_N_nucleo,m0_raggio_nucleo,m0_Lz,m0_Lz_norm,ncrit_adattivo,rho_critica,lambda_eff_min,lambda_eff_med,lambda_eff_max,lambda_eff_ratio_med,rho_su_rhoc_max,m1_N,m1_coer,m1_coer_nucleo,m1_spin,m1_Lz,m2_N,m2_coer,m2_coer_nucleo,m2_spin,m2_Lz,n_masse,coer_01,cosphi_01,Lz_orb_01,dist_01,coer_02,cosphi_02,Lz_orb_02,dist_02,coer_12,cosphi_12,Lz_orb_12,dist_12,scala_com,rcom_01,rcom_02,rcom_12,s2_medio,s2_max,tw_q,tw_disp,sync_rel,d0_disp,rchi_pos,rchi_neg,rchi_ratio,frac_chi_neg,dens_g0,dens_g1,dens_g2,dens_g3,dens_g4,guscio_idx,centro_N,centro_coer,centro_cosphi,guscio_N,guscio_coer,guscio_cosphi,guscio_circ
0,1196,213263,0.0,1.4133706976505143e-12,1.5186351780230612e-14,1.4133706976505143e-12,0.4288044847304907,4.77500594009329,3.959489666286512,-29.432307529524014,27.055243373193168,-0.00022761355720775367,29.432307529524014,4.5772365503182755e-05,12.566353702112698,6.110461640165206,-0.9013375840213644,0.9380518723187941,-0.015092295565728317,0.9380518723187941,0.028870973247514527,2.399987739685715,1.2278270514289953,0.028870973247514527,2.3986549373633723,1.2275531210903055,0.0,0.05863295558683457,0.0030271682845742303,1.0,1.0,1.0,0.009910210141066316,-0.12409929630582521,0,0,0,0.0,0.6017856753516517,372,0.9988,-0.02001,0.4517081221486849,1,2,-1,0.9989,372,0.6017856753516517,0.0,0.0,621.4857873344093,289.7828177215713,0.6091702876917274,0.609170287691728,0.609170287691728,0.76146285961466,4.87734472583018e-15,372,0.9986,0.9987,0.00015,0.0,372,0.9988,0.9988,-0.03024,0.0,3,0.9974,1.0,0.0,0.0,0.9976,1.0,0.0,0.0,0.9974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0013,1.0,1.25789,0.2752,0.9898,0.9882,0.9984,0.5167,2.1672,1.9264,1.9505,16.2542,32.4282,14.9632,0,0.0,0.0,0,0.0,0.0,0.0
1,1196,213263,1.5547503772032468e-29,8.3453309525407e-13,1.036477253878514e-14,8.3453309525407e-13,0.4320261420558372,4.776395367720413,3.9594883101136795,-28.65371266057907,25.497007815236163,-0.12185817989751487,28.65371266057907,4.447361505589874e-05,12.565938476101097,5.721561877029829,-0.9013375856051632,0.9380518783185764,-0.015092295603830795,0.9380518783185764,0.05,2.3999877396850544,1.2278447178393235,0.05213544532956699,2.39832416353795,1.2272276535185827,1.4142115624116159e-08,0.05863296972895019,0.0030271824266898542,0.0031684876403861306,1.4019334725563006,1.020324414208043,0.009947841849905156,-0.12409931928584714,0,0,0,4.3650439623444846e-24,0.6017856882352195,372,0.9938,-0.01971,0.4514884071240353,10,10,0,0.9965,372,0.6017856882352195,0.036728,0.03672829282375112,621.4857873344098,289.7828177215715,0.6091702876917278,0.609170287691728,0.609170287691728,0.76146285961466,2.8798570661146107e-15,372,0.9689,0.9027,-0.00271,-1.008538,372,0.9904,0.9888,-0.03047,1.138991,3,0.9708,0.9869,2.623603,0.0,0.9869,0.9998,-2.583589,0.0,0.9683,0.9837,-1.450531,0.0,0.0,1.8155,1.6099,1.7641,1.0,1.0,0.25676,0.03187,1.25789,0.27522,0.6128,1.016,1.6579,0.9331,2.1672,1.9264,1.9505,16.2542,32.4282,14.9632,0,0.0,0.0,0,0.0,0.0,0.0
2,1203,213271,0.0,3.1607535408030314e-09,4.7159386315505856e-11,3.1607535408030314e-09,0.4399839802730013,4.772450945426427,3.958102571131955,-29.7870376470066,25.987049358709566,-1.500910399324946,29.7870376470066,2.4003156729699403e-05,12.566348963827027,7.810780774510727,-0.9044956411336064,0.9421459956638446,-0.01546365150344935,0.9421459956638446,0.050000884045382284,2.399983227295383,1.2281768991616786,0.06933045545742353,2.398655112541569,1.2258023282239328,0.0,0.06959607933512224,0.013153441543016843,1.0,1.0,1.0,0.0,-0.14034825891563996,0,0,0,1.3715894879376627e-08,0.6201158521351854,376,0.9697,-0.01983,0.45301576519987824,0,0,0,0.9697,376,0.6201158521351854,1.350462,1.3504617110220476,621.4858082845649,289.78282749008935,0.6091702876903673,0.6091702876917181,0.609170287691728,0.7614628596146475,1.0907318312059502e-11,372,0.9595,0.9595,-0.00051,0.150336,375,0.9408,0.9408,-0.02862,-0.021966,3,0.9306,0.9865,-0.012381,6.94,0.9127,0.9933,-0.026926,6.764,0.903,0.9988,-0.098045,6.938,3.9726,1.7468,1.7026,1.7464,0.2548,1.0,0.26036,0.0533,1.26223,0.2668,0.9451,1.033,1.093,0.4996,2.1675,1.9267,1.9508,16.4114,32.5532,15.0188,48,0.1604,-0.5179,53,0.1274,-0.1641,1.0
3,1204,213272,0.0,3.167417129853417e-09,4.70299793237346e-11,3.167417129853417e-09,0.4413822787425406,4.773967450974648,3.9579255235525492,-29.46930630507442,32.748285160195636,-0.04693957709464689,32.748285160195636,0.00018275784994108363,12.566215477058405,7.90575604316821,-0.9044955956237918,0.942146215370439,-0.015436696015011868,0.942146215370439,0.050000885569405254,2.3999831932903963,1.2279908446498045,0.06933150531860796,2.3986551542921544,1.2234312153895948,0.0,0.06966454860963893,0.01315001472968177,1.0,1.0,1.0,1.3708960653459152e-12,-0.1403542701492537,0,0,0,1.39678004394337e-08,0.6199550421456091,377,0.9632,-0.01964,0.4529101857313774,0,0,0,0.9632,377,0.6199550421456091,-0.011584,-0.01158400616886257,621.4858084125703,289.782827549775,0.6091702876903645,0.6091702876917179,0.609170287691728,0.7614628596146473,1.0930313423452812e-11,372,0.9509,0.9509,-0.00655,0.00126,375,0.9404,0.9404,-0.02923,-0.0119,3,0.916,0.9826,-0.000142,6.941,0.9062,0.9932,0.000699,6.763,0.8945,0.9975,0.000506,6.943,3.9736,1.7467,1.7019,1.7472,0.2434,1.0,0.25633,0.09053,1.26323,0.2478,0.9475,1.0304,1.0875,0.5008,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.1808,-0.601,53,0.0806,-0.3758,-1.0
4,1204,213272,1.0258925517159021e-25,3.199016867565088e-09,4.629475437815971e-11,3.199016867565088e-09,0.44138226885951676,4.773967448370421,3.9579255240375923,-29.539854942477096,31.85821971521616,-0.20509437050840085,31.85821971521616,5.0127954082768156e-05,12.566208359705506,7.455903595795393,-0.9044952809527657,0.9421464508441125,-0.015436753096125265,0.9421464508441125,0.050000886866709324,2.399983174196907,1.2279908444813643,0.06933503266785827,2.399584213007251,1.2181808639509433,1.4142115624116159e-08,0.06973301788415562,0.013157149923147456,0.0012668933490391776,1.414137719645704,0.9019750942738758,3.65171835478872e-12,-0.1403592264457467,0,0,0,1.4207448459673104e-08,0.6205738277884177,377,0.9595,-0.01926,0.45260694463424517,0,0,0,0.9595,377,0.6205738277884177,0.00195,0.0019495680744012756,621.4858084411559,289.7828275631037,0.6091702876903509,0.6091702876917179,0.609170287691728,0.7614628596146473,1.1039359697283869e-11,372,0.9206,0.9206,-0.0102,0.000264,375,0.9343,0.9343,-0.03036,-0.011829,3,0.8836,0.9713,-0.001043,6.947,0.897,0.9929,-0.000282,6.758,0.8605,0.9927,0.000804,6.948,3.9751,1.7478,1.7,1.748,0.2409,1.0,0.25069,0.09695,1.26323,0.20833,0.9504,1.0276,1.0813,0.5,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.1285,-0.6049,53,0.0467,-0.7066,2.0
5,1204,213272,2.890973431737574e-15,1.619751525235358e-08,3.6221958394737413e-10,1.619751525235358e-08,0.44138206577058225,4.773966713713885,3.957925492859718,-28.296198590381742,30.226255674111123,-0.0908234093113055,30.226255674111123,0.0005144688750515769,12.566059780882847,7.411469996590828,-0.906126566291439,0.9503560881938102,-0.015439909579432927,0.9503560881938102,0.050017574625692084,2.3999993535998723,1.2279954931015193,0.06934302062072026,2.399999390879803,1.206004073642949,0.005049209674425377,0.08343848209069327,0.022176900865886258,0.006306907885734403,1.4140150643234075,1.009644252387796,2.463699328073789e-10,-0.15581044403804326,0,0,0,1.9198494387137978e-07,0.606103673960074,377,0.9588,-0.01841,0.45323792483389996,1,1,0,0.9588,377,0.606103673960074,-0.083662,-0.08366195369844776,621.4858624352373,289.7828527391534,0.609170287684755,0.6091702876915996,0.609170287691728,0.7614628596144996,5.589535439812132e-11,372,0.826,0.826,-0.01437,-0.351202,375,0.9191,0.9191,-0.03025,-0.004568,3,0.7921,0.9272,-0.001299,6.909,0.8818,0.9939,0.006359,6.808,0.7596,0.9629,-0.008626,6.998,3.9868,1.7329,1.7076,1.7553,0.2605,1.0,0.26697,0.10092,1.26309,0.15506,0.9643,1.0138,1.0513,0.5,2.1662,1.9255,1.9495,16.5041,32.4924,14.9997,48,0.0031,-0.9973,52,0.0432,-0.5434,3.0
6,1205,213273,0.0,3.948078179592856e-08,1.8527655700083166e-09,3.948078179592856e-08,0.4427314062018648,4.775441487547394,3.957501066130326,-28.828122510169155,31.59555957660214,-0.17454857214658748,31.59555957660214,0.0005067567866659407,12.56528007674234,7.436373171748209,-0.9077661472329281,0.9582786546988745,-0.015231363078446667,0.9582786546988745,0.05007929852689463,2.400095811185951,1.2279008283382995,0.06942849578135053,2.4000958526843377,1.1716001308686783,0.0,0.09756268782002359,0.03224656053218178,1.0,1.0,1.0,8.193601481643885e-10,-0.17103365085637898,0,0,0,8.459919936886089e-07,0.6055747046452081,378,0.9536,-0.01853,0.45406120834876673,2,1,1,0.9536,378,0.6055747046452081,-0.143608,-0.14360800849411492,621.4859676349066,289.78290179105,0.6091702876747316,0.6091702876909886,0.609170287691728,0.7614628596137357,1.3624262008528183e-10,372,0.8157,0.8157,-0.01425,-0.464734,375,0.9125,0.9125,-0.03013,-0.315146,3,0.7781,0.9299,-0.002927,6.925,0.8718,0.9945,0.003015,6.816,0.7457,0.9633,0.000849,7.046,4.0008,1.7309,1.7038,1.7611,0.2402,1.0,0.2669,0.11878,1.26316,0.19783,0.9534,1.0246,1.0747,0.5004,2.168,1.9271,1.9512,16.3113,32.7201,15.0923,48,0.1073,0.6225,52,0.0907,0.5395,2.0
7,1208,213277,0.0,3.9529773901582115e-08,1.821236565459686e-09,3.9529773901582115e-08,0.4470982750720397,4.780329906611397,3.9569687303484833,-28.91562034581807,31.076316835057593,0.049002541553170256,31.076316835057593,9.686643199025013e-05,12.566351191218667,7.446084622472285,-0.9078077210834176,0.9582799006184256,-0.0148296733189419,0.9582799006184256,0.05008120801005612,2.400096864184657,1.2280604350647764,0.06943005049537146,2.4000969269675783,1.0985453119527075,0.0,0.09757275053712733,0.0323149066146196,1.0,1.0,1.0,6.813753562565678e-15,-0.17117779120683738,0,0,0,8.552302208883188e-07,0.6037580985284985,381,0.9381,-0.01857,0.45404433133058253,2,1,1,0.9381,381,0.6037580985284985,-0.003183,-0.0031826733526505446,621.48596469003,289.78290041792985,0.6091702876747105,0.6091702876910126,0.609170287691728,0.7614628596137657,1.3641168559142585e-10,372,0.8009,0.8009,-0.01392,-0.0858,375,0.9111,0.9111,-0.03051,0.015882,3,0.7515,0.9339,-0.000572,6.935,0.8561,0.9953,-5e-05,6.82,0.7311,0.9641,0.000505,7.056,4.0057,1.7314,1.7026,1.7616,0.2327,1.0,0.26119,0.11872,1.26448,0.22388,0.9625,1.0155,1.055,0.5008,2.1643,1.9238,1.9478,16.438,32.6642,15.0923,48,0.1462,0.5895,53,0.0657,0.7458,-0.0
8,1208,213277,2.019929884532988e-26,3.6750772264442657e-08,1.8415404561118752e-09,3.6750772264442657e-08,0.4470967705603377,4.7803266403389015,3.9569686035935883,-28.970887882979966,32.647149745766264,-0.20893616316760508,32.647149745766264,0.0013081374139769508,12.565717988518664,7.39355731743659,-0.9078646944435197,0.9582945196977252,-0.014832499467264648,0.9582945196977252,0.05008425192351724,2.4000981773513583,1.2280610700397288,0.06943191610417498,2.4000982454851822,1.0184490787648246,1.4142115624116159e-08,0.09784397305473456,0.03251105528632074,0.0007570094761847335,1.4142044957120092,0.8131349947588349,1.5966060893504979e-09,-0.17129077055043532,0,0,0,8.71377186832986e-07,0.6036395323173706,381,0.9402,-0.01856,0.45404930167397545,2,2,0,0.9402,381,0.6036395323173706,0.007627,0.007627225313336705,621.4859665297396,289.78290127573905,0.6091702876759069,0.6091702876909977,0.609170287691728,0.761462859613747,1.2682174173372965e-10,372,0.7972,0.7972,-0.01444,0.126767,375,0.9128,0.9128,-0.03236,-0.001471,3,0.7499,0.9291,0.000915,6.932,0.8595,0.996,0.000158,6.824,0.7291,0.9585,-0.00029,7.052,4.005,1.731,1.7039,1.7608,0.2367,1.0,0.26275,0.12062,1.26448,0.18211,0.9499,1.0282,1.0824,0.5,2.1643,1.9238,1.9478,16.438,32.6642,15.0923,48,0.047,0.8152,53,0.0495,0.3673,-2.0
9,1208,213277,1.0263908287175288e-14,4.303302407940925e-08,4.466951345495209e-09,4.303302407940925e-08,0.44709775700571464,4.780321225722808,3.9569683559455866,-30.465616541097166,32.28932249636381,0.13732212844265312,32.28932249636381,7.297145584139741e-05,12.565102357638638,7.338992004278511,-0.9086400384391373,0.9643796207925506,-0.014889980799525174,0.9643796207925506,0.0501198682983399,2.400613958286114,1.2280918140634756,0.049562548967963985,2.4006139997489884,0.9736918185463285,0.01414180089944435,0.11198488797193182,0.04064240523391114,0.001941073549264205,1.4141567688923853,0.7992689014071764,2.5769657462166437e-09,-0.18505557776441914,0,0,0,1.1794502486242652e-06,0.6058802083498557,381,0.9498,-0.01703,0.4535773003389353,0,1,-1,0.9498,381,0.6058802083498557,-0.02547,-0.02547045551584559,621.4860698288771,289.78294944146666,0.6091702876732024,0.6091702876899128,0.609170287691728,0.7614628596123909,1.4850088372125396e-10,372,0.7824,0.7824,-0.01574,-0.116725,375,0.9103,0.9103,-0.0343,0.182097,3,0.7435,0.9214,-0.002575,6.93,0.8653,0.9973,-0.006201,6.82,0.7129,0.9475,-0.004156,7.028,3.9991,1.7329,1.7055,1.7573,0.2481,1.0,0.27971,0.12156,1.26422,0.16155,0.9585,1.0196,1.0637,0.5,2.1643,1.9238,1.9478,16.4381,32.6643,15.0923,48,0.1863,-0.1609,53,0.144,-0.1386,2.0
